input_string,found,official_name,city,country,formatted_address,rating,website,error
Audrey Cafe Thonglor Soi 11,True,AUDREY CAFE & BISTRO,,Thailand,"Soi Thong Lo 11, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.2,http://www.audreygroup.com/,
Attico Cucina Italiana Radisson Blu Plaza Bangkok,True,Attico Cucina Italiana at Radisson Blu Plaza Bangkok,,Thailand,"489 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.5,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bangkok/restaurant-bar,
The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,True,"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",,Thailand,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.7,https://www.marriott.com/en-us/hotels/bkklc-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,
Rain Tree Cafe at The Athenee Hotel,True,Rain Tree Café,,Thailand,"61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,https://www.raintreecafebangkok.com/,
Skyline at Avani+ Riverside Bangkok Hotel,True,Skyline,,Thailand,"F11, AVANI RIVERSIDE HOTEL, 257 ถ. เจริญนคร Samrae, เขตธนบุรี กรุงเทพมหานคร 10600, Thailand",4.2,https://www.avanihotels.com/en/riverside-bangkok/restaurants/skyline,
Vertigo Rooftop Banyan Tree,True,Vertigo & Moon Bar Rooftop,,Thailand,"21/100 S Sathon Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",4.3,https://www.banyantree.com/thailand/bangkok/dining/vertigo,
Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,True,Orchid Café,,Thailand,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://www.orchidcafebangkok.com/,
Audrey Cafe EmQuartier,True,Audrey,,Thailand,"1357 Soi Sukhumvit 35, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.1,http://www.audreygroup.com/,
Audrey Cafe Central Ladprao,True,Audrey Cafe,,Thailand,"1693 ชั้น 4 เซ็นทรัลลาดพร้าว โซนร้านอาหาร Phahon Yothin Road, Khwaeng Chatuchak, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",4.2,http://www.audreygroup.com/,
Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,True,Up & Above Restaurant and Bar,,Thailand,"57 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,https://www.okurabangkok.com/dining/up-above-restaurant-and-bar,
Bai Yun Banyan Tree Bangkok,True,Bai Yun Chinese Restaurant,,Thailand,"59th floor Banyan Tree Bangkok 21/100 S Sathon Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",4.5,https://www.banyantree.com/thailand/bangkok/dining/bai-yun,
Broccoli Revolution Sukhumvit 49,True,Broccoli Revolution Sukhumvit 49,,Thailand,"899 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://www.broccolirevolution.com/,
Mojjo Rooftop Lounge & Bar Skyview Hotel,True,Mojjo Rooftop Lounge Bar,,Thailand,"32nd Floor SKYVIEW Hotel Bangkok 12 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.5,https://skyviewhotel.com/bangkok/dining/mojjo-rooftop-lounge-bar/,
