activity_id,bookings_during,bookings_baseline,lift,channel,restaurant_id,activity_start,activity_end,window_hours,crm_campaign_name,crm_topic,crm_audience,kol_platform,kol_username,kol_post_url,fb_campaign,fb_amount_spent_thb,window_days,lift_per_day,cost_per_incremental_booking,total_campaign_revenue_x,aov_thb,total_campaign_revenue_y,total_campaign_revenue,incremental_revenue_thb,roi,roi_percentage
CRM_00e026f097bf,1.0,0.0,1.0,CRM,3122.0,2025-09-26,2025-09-28,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250926_1700_ssd-the-oasis-at-hotel-nikko-sep25,ssd-the-oasis-at-hotel-nikko-sep25,single,,,,,0.0,2.0,0.5,,509.7,509.7,509.7,509.7,509.7,,
CRM_01166ffb3fba,1.0,2.0,-1.0,CRM,5828.0,2025-06-24,2025-06-26,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250624_1900_11th-purple-laurel-jun25,11th-purple-laurel-jun25,single,,,,,0.0,2.0,-0.5,,609.96,609.96,609.96,609.96,-609.96,,
CRM_032b8a82c4d2,25.0,51.0,-26.0,CRM,370.0,2025-04-03,2025-04-05,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250403_1500_orchid-cafe-apr25,orchid-cafe-apr25,single,,,,,0.0,2.0,-13.0,,5585.7,223.428,5585.7,5585.7,-5809.128,,
CRM_040ecc389a8b,2.0,6.0,-4.0,CRM,1747.0,2025-11-02,2025-11-04,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251102_1100_jumbo-seafood-sep25,jumbo-seafood-sep25,single,,,,,0.0,2.0,-2.0,,1538.1,769.05,1538.1,1538.1,-3076.2,,
CRM_044d68c9632e,3.0,0.0,3.0,CRM,280.0,2025-01-02,2025-01-04,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250102_1100_weekly-new-week1-jan25,weekly-new-week1-jan25,group,,,,,0.0,2.0,1.5,,1870.0,623.3333333333334,1870.0,1870.0,1870.0,,
CRM_04cc1bcbe38f,22.0,15.0,7.0,CRM,6462.0,2025-11-21,2025-11-23,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251121_1700_anchor-premium-buffet-nov25,anchor-premium-buffet-nov25,single,,,,,0.0,2.0,3.5,,10956.84,498.03818181818184,10956.84,10956.84,3486.267272727273,,
CRM_05cfced006ed,5.0,9.0,-4.0,CRM,894.0,2025-10-13,2025-10-15,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251013_1100_romsai-banyan-tree-oct25,romsai-banyan-tree-oct25,single,,,,,0.0,2.0,-2.0,,1558.5,311.7,1558.5,1558.5,-1246.8,,
CRM_05f7753a3957,2.0,0.0,2.0,CRM,1364.0,2025-07-09,2025-07-11,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250709_1500_you-i-premium-suki-buffet-jul25,you-i-premium-suki-buffet-jul25,group,,,,,0.0,2.0,1.0,,194.72,97.36,194.72,194.72,194.72,,
CRM_06d728a9de05,4.0,3.0,1.0,CRM,1003.0,2025-01-30,2025-02-01,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250130_1500_greenhouse-jan25,greenhouse-jan25,single,,,,,0.0,2.0,0.5,,1377.96,344.49,1377.96,1377.96,344.49,,
CRM_06df8fec88db,28.0,22.0,6.0,CRM,2925.0,2025-12-20,2025-12-22,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251220_1500_jw-cafe-at-jw-marriott-dec25,jw-cafe-at-jw-marriott-dec25,single,,,,,0.0,2.0,3.0,,9515.7,339.8464285714286,9515.7,9515.7,2039.0785714285716,,
CRM_07ea5d787b96,3.0,4.0,-1.0,CRM,1856.0,2025-11-18,2025-11-20,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251118_1500_spectrum-rooftop-nov25,spectrum-rooftop-nov25,single,,,,,0.0,2.0,-0.5,,1113.5,371.1666666666667,1113.5,1113.5,-371.1666666666667,,
CRM_086b5cc43ac4,3.0,1.0,2.0,CRM,1365.0,2025-01-05,2025-01-07,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20250105_1300_you-i-premium-suki-buffet-jan25,you-i-premium-suki-buffet-jan25,group,,,,,0.0,2.0,1.0,,579.84,193.28,579.84,579.84,386.56,,
CRM_08b5be06c2a3,1.0,1.0,0.0,CRM,3908.0,2025-12-31,2026-01-02,48.0,TH_BKK_ctnoti_netcore_group_N_N_active_20251231_1500_you-i-premium-suki-buffet-dec25,you-i-premium-suki-buffet-dec25,group,,,,,0.0,2.0,0.0,,131.52,131.52,131.52,131.52,0.0,,
CRM_09369e95958e,4.0,2.0,2.0,CRM,5083.0,2025-04-04,2025-04-06,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250404_1100_treats-cafe-at-ibis-styles-apr25,treats-cafe-at-ibis-styles-apr25,single,,,,,0.0,2.0,1.0,,548.9,137.225,548.9,548.9,274.45,,
CRM_0966a9ae50ef,8.0,5.0,3.0,CRM,4254.0,2025-07-15,2025-07-17,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250715_1700_ads-ava-brasserie-jul25,ads-ava-brasserie-jul25,single,,,,,0.0,2.0,1.5,,3914.4,489.3,3914.4,3914.4,1467.9,,
CRM_09fcd49cdef0,5.0,7.0,-2.0,CRM,3629.0,2025-11-11,2025-11-13,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20251111_1100_ads-savio-at-chatrium-grand-nov25,ads-savio-at-chatrium-grand-nov25,single,,,,,0.0,2.0,-1.0,,6296.000000000001,1259.2000000000003,6296.000000000001,6296.000000000001,-2518.4000000000005,,
CRM_0a4c066ef520,4.0,6.0,-2.0,CRM,4405.0,2025-08-05,2025-08-07,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250805_1500_mother-day-open-at-doubletree-aug25,mother-day-open-at-doubletree-aug25,single,,,,,0.0,2.0,-1.0,,677.16,169.29,677.16,677.16,-338.58,,
CRM_0a6164eb1757,10.0,10.0,0.0,CRM,2536.0,2025-03-20,2025-03-22,48.0,TH_BKK_ctnoti_netcore_single_N_N_active_20250320_1700_giorgio-s-riverside-mar25,giorgio-s-riverside-mar25,single,,,,,0.0,2.0,0.0,,2554.5,255.45,2554.5,2554.5,0.0,,
