activity_id,source_table,channel,kol_platform,kol_id,kol_username,kol_restaurant_id,kol_restaurant_name,kol_country,kol_cuisine_type,kol_post_url,kol_post_date,kol_price_per_post,kol_cpm,kol_views,kol_likes,kol_comments,kol_conv_rate,kol_growth_rate,crm_campaign_id,crm_campaign_name,crm_country,crm_restaurant_id,crm_restaurant_id_raw,crm_sent_datetime,crm_lang,crm_city,crm_audience,crm_topic,crm_published,crm_sent,crm_delivered,crm_total_clicked,crm_unique_clicked,crm_unique_conversions,crm_revenue,crm_ctr,crm_click_to_purchase,crm_delivered_to_purchase,crm_rev_per_click,fb_ad_name,fb_delivery_status,fb_delivery_level,fb_result_type,fb_source,fb_type,fb_campaign,fb_kol_id,fb_platform,fb_content_date,fb_country,fb_start_date,fb_end_date,fb_campaign_duration_days,fb_year_month,fb_restaurant_id,fb_restaurant_id_2,fb_restaurant_id_3,fb_restaurant_id_4,fb_restaurant_id_5,fb_restaurant_name,fb_reach,fb_impressions,fb_frequency,fb_results,fb_amount_spent_thb,fb_cost_per_result,fb_ctr_proxy_pct,fb_cost_per_mille,fb_cost_per_reach,fb_conversion_rate_pct,activity_start,activity_end
KOL_78dd89a55819,KOL_Posts.csv,KOL,Instagram,HH-IN36Y,365days2play,1893,Sirimahannop Asiatique The Riverfront,Bangkok,Thai-European ,Instagram.com/365days2play,2024-08-23,,0.0,1723.0,,18.0,0.009899999999999999,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-23 00:00:00,2024-08-28 00:00:00
KOL_d342d0c786bc,KOL_Posts.csv,KOL,Instagram,HH-INAAD,aayan_world,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/aayan_world,2025-09-05,0.0,0.0,30705.0,,47.0,0.0015,109.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-05 00:00:00,2025-09-10 00:00:00
KOL_3a536753bc0b,KOL_Posts.csv,KOL,Instagram,HH-INBEH,beatricechongyh,,Copper Beyond Buffet Gaysorn Amarin,Bangkok,,Instagram.com/beatricechongyh,2025-08-18,,0.0,111112.0,3572.0,75.0,0.032799999999999996,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-18 00:00:00,2025-08-23 00:00:00
KOL_efe32ed42d46,KOL_Posts.csv,KOL,Instagram,HH-INBEH,beatricechongyh,4039,Oishi Grand Siam Paragon,Bangkok,Japanese,Instagram.com/beatricechongyh,2025-08-20,,0.0,102159.0,,70.0,0.0007000000000000001,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-20 00:00:00,2025-08-25 00:00:00
KOL_46e9882811d4,KOL_Posts.csv,KOL,Instagram,HH-INBEH,beatricechongyh,5945,Kohaku Omakase,Bangkok,Japanese,Instagram.com/beatricechongyh,2025-08-23,,0.0,102775.0,,44.0,0.0004,0.41600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-23 00:00:00,2025-08-28 00:00:00
KOL_26d2fc4aef93,KOL_Posts.csv,KOL,Instagram,HH-INBEH,beatricechongyh,5974,Lamaya Bangkok,Bangkok,Fusion,Instagram.com/beatricechongyh,2025-08-25,,0.0,141551.0,3963.0,63.0,0.028399999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-25 00:00:00,2025-08-30 00:00:00
KOL_fc3248f44d77,KOL_Posts.csv,KOL,Instagram,HH-INBEH,beatricechongyh,4889,Gentle Butcher by Bangkok Butcher,Bangkok,Steakhouse,Instagram.com/beatricechongyh,2025-08-30,,0.0,111275.0,,36.0,0.0003,0.5670000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-30 00:00:00,2025-09-04 00:00:00
KOL_57c57c2d3f1a,KOL_Posts.csv,KOL,Instagram,HH-INBIK,bigjohnjiak,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Instagram.com/bigjohnjiak,2025-08-05,5162.0,246.37,20952.0,154.0,9.0,0.0078000000000000005,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-05 00:00:00,2025-08-10 00:00:00
KOL_75ea38efc888,KOL_Posts.csv,KOL,Tiktok,HH-INBIK,bigjohnjiak,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),Bangkok,International,Tiktok.com/@bigjohnjiak,2025-08-05,5162.0,163.35,31600.0,501.0,30.0,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-05 00:00:00,2025-08-10 00:00:00
KOL_9d9f7d7a2a93,KOL_Posts.csv,KOL,Tiktok,HH-INBIK,bigjohnjiak,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Bangkok,Japanese,https://tiktok.com/@bigjohnjiak,2025-10-06,12656.0,516.59,24500.0,339.0,37.0,0.015300000000000001,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00,2025-10-11 00:00:00
