rank,name,restaurant_id,priority_score,priority_tier,recommended_channel,latest_segment,growth_months,months_observed,is_stable_growth,score_perf,score_growth,monthly_bookings,monthly_revenue,booking_growth_rolling,revenue_growth_rolling,booking_growth_yoy,revenue_growth_yoy,growth_rate_blended,growth_signal_used,score_growth_mom,score_growth_yoy,is_seasonal,has_full_year,delta_growth_book,delta_growth_rev,has_marketing,n_campaigns,avg_lift_per_day,total_incremental_rev,avg_roi,n_positive_lift,n_negative_lift,pct_yoy_baseline,lift_reliability,channels_used,best_channel
1,Beef Express Muangthong Nonthaburi,3181,100.0,ðŸ”´ Activate â€” proven marketing response,CRM,Rising Stars,3.0,3.0,True,0.6895322521978425,0.8160756804357515,90,169558.0,2.0,2.0,2.0,2.0,1.5221501504533201,YoY,0.3869189347858385,1.0,False,True,1.0042328042328044,0.9791660968774603,True,6.0,0.6547619047619048,127619.20634920633,-479.4927930995348,4.0,2.0,1.0,0.867,CRM+FB,CRM
2,Chakrabongse Villas,6049,56.610903933948975,ðŸ”´ Activate â€” proven marketing response,KOL,Rising Stars,3.0,3.0,True,0.5151685808942945,0.6940064691000388,13,93998.0,1.0814814814814815,1.3285279936197538,,,1.2050047375506177,MoM,0.6940064691000388,,False,False,0.14814814814814825,0.13292658730158724,True,1.0,0.2,19176.0,,1.0,0.0,1.0,1.0,KOL,KOL
3,Brewski Rooftop Sports Bar Radisson Blu Plaza Bangkok (Indoor),1065,55.22102356666261,"ðŸŸ  Activate â€” untapped, no prior spend",FB,Emerging Opportunities,3.0,3.0,True,0.39641932168547866,0.6917925912004216,8,10980.0,1.2222222222222223,1.1762835950293806,0.0,0.5717148582880046,1.1992529086258015,MoM,0.6917925912004216,,False,True,0.11111111111111138,0.14180560152423305,False,,,,,,,,,,
4,Ramen Kaosoi and Japanese Buffet,6097,53.0278287580755,ðŸŸ¡ Activate â€” review channel strategy,KOL,Rising Stars,3.0,3.0,True,0.542441949541783,0.6280412592595427,29,38553.0,1.0824915824915826,0.9847522847522847,,,1.0336219336219337,MoM,0.6280412592595427,,False,False,0.3941798941798943,0.14649470899470896,True,1.0,0.0,0.0,,0.0,0.0,1.0,0.8,KOL,KOL
5,Blue Elephant Sathorn,6206,40.59159667941605,"ðŸŸ  Activate â€” untapped, no prior spend",KOL,Rising Stars,3.0,3.0,True,0.5617485352788311,0.6977296430613666,18,165464.0,1.222222222222222,1.2071334505049898,,,1.214677836363606,MoM,0.6977296430613666,,False,False,-0.44444444444444464,-0.3688725107468733,False,,,,,,,,,,
6,Shabu Square At For You Park Bangna,4990,40.4674116969058,ðŸ”´ Activate â€” proven marketing response,CRM,Rising Stars,3.0,3.0,True,0.526457848980178,0.526166046452789,23,40690.0,1.21875,1.1678374474789917,0.4375,0.3356748949579832,0.7689421173389219,YoY,0.14505605010781145,0.6632878151260504,False,True,0.5234638047138046,0.4312882421419516,True,4.0,4.775,506217.81641887524,,3.0,1.0,1.0,0.9,CRM+KOL,CRM
7,Tap Yard,4781,38.75868526375784,"ðŸŸ  Activate â€” untapped, no prior spend",FB,Emerging Opportunities,3.0,3.0,True,0.35951548551156615,0.6518834389733963,4,14480.0,1.0833333333333333,1.1077982505118185,0.0,1.0700500357398142,1.0955657919225759,MoM,0.6518834389733963,,False,False,-0.25,-0.6542427604562311,False,,,,,,,,,,
8,Red Sky Restaurant 55th Floor,2909,33.0672644639243,ðŸŸ¡ Activate â€” review channel strategy,KOL,Rising Stars,3.0,3.0,True,0.5784288587731246,0.5496683721727825,23,156160.0,0.9595959595959597,0.7004100568658628,2.0,0.7687167289613773,0.8300030082309112,MoM,0.5496683721727825,,False,True,0.1262626262626263,0.07595204829714586,True,1.0,-0.5,0.0,,0.0,1.0,1.0,0.6,CRM,CRM
9,Tu Bar Rooftop at Sri Panwa (Phuket),3882,28.405603810047243,"ðŸŸ  Activate â€” untapped, no prior spend",KOL,Rising Stars,3.0,3.0,True,0.7155231579050728,0.6158952783972845,101,261560.0,0.9602286602286604,1.0439027796714215,2.0,2.0,1.002065719950041,MoM,0.6158952783972845,,False,True,-0.41538461538461535,-0.294425381598882,False,,,,,,,,,,
10,Fairy Garden BKK,5799,24.763041920137006,ðŸŸ¡ Activate â€” review channel strategy,FB,Emerging Opportunities,3.0,3.0,True,0.3876554219131225,0.5964602151875069,7,11202.0,0.9878917378917379,0.9152520560817455,,,0.9515718969867417,MoM,0.5964602151875069,,False,False,-0.43518518518518523,-0.176713020112358,True,1.0,-1.0,0.0,,0.0,1.0,1.0,0.6,CRM,CRM
