restaurant_id,name,scraped_city,confidence,matched_keyword,source,search_query,source_text,error
5567,A JUM MA Specialty Kimbap,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 490/17 Phahon Yothin Road, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand A JUM MA Specialty Kimbap",
4751,About Beef Lava Grill,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 949/1 Thanon Ratchadaphisek, Khwaeng Bang Sue, Khet Bang Sue, Krung Thep Maha Nakhon 10800, Thailand About Beef Lava Grill",
6438,1 Of A Kind,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 4 Rama IX Soi 48, Khwaeng Suan Luang, Khet Suan Luang, Krung Thep Maha Nakhon 10250, Thailand 1 Of A Kind",
4624,ALEK Seafood INTL Buffet Fortune Town,Bangkok,medium,fortune town,restaurant_name,,ALEK Seafood INTL Buffet Fortune Town,
6122,Ninja Izakaya,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 645 Thanon Lat Phrao Wanghin, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand NINJA IZAKAYA",
6117,298 Nikuya Yakiniku,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 2/34 Soi Sukhumvit 41, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand 298 Nikuya Yakiniku",
3379,'@RICE Restaurant by At Rice Resort (Nakhon Nayok),Nakhon Nayok,high,Nakhon Nayok,restaurant_name,,'@RICE Restaurant by At Rice Resort (Nakhon Nayok),
2724,123 ICHI NI SAN Sathorn Soi 1,Bangkok,medium,Sathorn,restaurant_name,,123 ICHI NI SAN Sathorn Soi 1,
3577,Abandoned Mansion,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 41 Soi Sukhumvit 14, Klongtoey, Krung Thep Maha Nakhon 10110, Thailand Abandoned Mansion",
5972,1823 Tea Lounge by Ronnefeldt,Bangkok,high,Krung Thep Maha Nakhon,places_api_existing_output,," 999 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand 1823 Tea Lounge by Ronnefeldt",
2424,ALATi at Siam Kempinski Hotel Bangkok,Bangkok,high,Bangkok,restaurant_name,,ALATi at Siam Kempinski Hotel Bangkok,
