restaurant_id,name
4800, Charoen Rung Rueang International Buffet MS Siam Tower Rama 3
3740, Estrela Rooftop Bar & Restaurant (Phuket)
5836, IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star)
6449, Little Lazy Lizard
6122, Ninja Izakaya
5762, Sand Box Beachfront Bar & Eatery Phuket
6418, WYWS Cocktail Bar
6473,&T modern Thai grill 
3379,'@RICE Restaurant by At Rice Resort (Nakhon Nayok)
6438,1 Of A Kind
6047,1-Altitude Coast
6420,100 Degrees Hotpot Central Chaengwattana
6421,100 Degrees Hotpot Cosmo Bazaar
5659,1010 Wine Bar & Restaurant 
2724,123 ICHI NI SAN Sathorn Soi 1
6617,13 Coins Ngamwongwan
2519,13 Coins Sukhumvit 49 
3471,130Sportcomplex
5972,1823 Tea Lounge by Ronnefeldt
4720,1897 Lounge at Siam Kempinski Hotel Bangkok
5908,1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1
5739,2 Béo Vietnamese Restaurant
3805,204 Bistro at Jubilee Prestige Hotel Ratchadapisek
6724,21 Rooftop Hyatt Centric City Centre
5255,212 Rooftop Bar At Ibis Styles Bangkok Ratchada
6100,224 Winesphere 
5554,24 Twenty-Four Food & Beverage
1069,27 Bites Brasserie at Radisson Blu Plaza Bangkok
5165,28Ventotto 
6117,298 Nikuya Yakiniku
3481,4K Cafe by Cross Vibe Decem (Chiang Mai)
2475,4K Café Cross Vibe Bangkok Sukhumvit Hotel
5427,501 Home Cook 
6290,54 Shabu Buffet & Mala 
1826,57th Street Marriott Sukhumvit 57
6183,61 Bistro
5880,77 JET SIP JET
6058,7th Street Bar & Bistro Mega Bangna
5574,8 Korean BBQ at Shaw Centre
2451,82 Concept 
3806,8855 Restaurant & Bar
6869,A Beautiful Day Café Tea Room + Cocktail Bar
4718,A Bowl of Pasta
3801,A Day Butcher and Eatery
3698,A Day Cafe & Bar
5567,A JUM MA Specialty Kimbap
6545,A Seven at Davinia Resort (Hua Hin)
4094,A'LA Craft Kiri Vari (Nan)
4987,A.P.P Bangkok 
4229,AB Indian Cuisine Asoke
5720,ABBA Cafe (Too Fast Infinity Samyan) 
3112,AIRE Bar at Hyatt Place Bangkok Sukhumvit 24
5623,AKATO BKK
5052,AKI Traditional Omakase
2424,ALATi at Siam Kempinski Hotel Bangkok
4624,ALEK Seafood INTL Buffet Fortune Town
5333,ALRAY Fish & Chips
4098,ANG MORR Sukhumvit 38
6345,ARIES 24 Cafe' & Resto Bar
6714,ARISE Rooftop Bar at AMANOR Hotel Chiang Mai
2723,ARUN THAI CUISINE BY SEE FAH
4705,AV izakaya Lat Phrao 71
4708,AV izakaya Saphan Khwai
4254,AVA Brasserie at InterContinental Bangkok Sukhumvit
6558,AYAR HOUSE 
3577,Abandoned Mansion
4751,About Beef Lava Grill
6090,Above Eleven
2853,Above Riva at Riva Arun
6279,Absurdities Singapore
5069,Abushi
6857,Acire 
4608,AdHoc Bkk
5197,Aey Seafood
3126,Ago Cafe	Ago Hotel Chinatown
5388,Aground Cafe And Restaurant
5889,Aha's Shabu & Grill 
6553,Aimée Petit Bistro
2060,AkaAza Rooftop Bar Amara Bangkok
3167,Akako Omakase 
4545,Akanee Bangkok
5767,Akase Shabu 
5479,Akimitsu Tendon Central Si Racha
5477,Akimitsu Tendon Central World
5478,Akimitsu Tendon Iconsiam
5922,Akira Back at JW Marriott Hotel Singapore South Beach
5902,Al Bahr Beach Bar @Marrakesh (Hua Hin)
4091,Aladeen Restaurant
3933,Alangka Cruise
2632,Alangkarn Sushi Rama 2
4649,Alberto’s Pizzeria & Trattoria Novotel Bangkok Future Park Rangsit
1728,Albricias at Chatrium Residence Sathorn
4472,Ale House - Riverside Bar at Millennium Hilton Bangkok
2371,Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin)
2664,Alexa Beach Club (Pattaya)
6671,Alice’s Dining Hall
5733,All Day Fine
6566,Allora Ristorante and Bar
5246,Alma by Juan Amador 
3544,Alpina Wine & Bistro
6771,Amano Steak & Wine
2183,Amara Bangkok Hotel Staycation
949,Amaya Food Gallery Amari Bangkok
6762,Amaya Food Gallery At Amari Kuala Lumpur
4509,"Ambrosia at Ten Six Hundred, Chao Phraya, Bangkok by Preference"
5569,Amorretto Cafe & Bistro
5645,Amò
5374,An La Ghien
5020,Anacot Revtaurant Si Phraya 
4616,Anchan Cafe Sukhumvit 49
3033,Anchan Cafe Vibhavadi
