restaurant name,UMAP Component 1 (Semantic Similarity Axis),UMAP Component 2 (Theme Variation Axis),cluster,Primary Theme,Number of Posts,Primary Theme %,All Themes,restaurant_id,name,days_in_advance
'@RICE Restaurant by At Rice Resort (Nakhon Nayok),-0.26156652,8.148663,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3379,'@RICE Restaurant by At Rice Resort (Nakhon Nayok),90
100 Degrees Hotpot Central Chaengwattana,3.642257,6.3215127,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6420,100 Degrees Hotpot Central Chaengwattana,90
100 Degrees Hotpot Cosmo Bazaar,2.2812667,9.3165045,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6421,100 Degrees Hotpot Cosmo Bazaar,90
123 ICHI NI SAN Sathorn Soi 1,5.6030283,12.580779,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2724,123 ICHI NI SAN Sathorn Soi 1,90
13 Coins Ngamwongwan,2.6838703,10.711861,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6617,13 Coins Ngamwongwan,90
130Sportcomplex,-0.11839684,12.782193,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3471,130Sportcomplex,90
1823 Tea Lounge by Ronnefeldt,-0.03855208,9.386065,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5972,1823 Tea Lounge by Ronnefeldt,90
212 Rooftop Bar At Ibis Styles Bangkok Ratchada,-2.30989,9.438018,3,Good Location,1,100.0,Good Location,5255,212 Rooftop Bar At Ibis Styles Bangkok Ratchada,90
24 Twenty-Four Food & Beverage,1.9837894,9.847276,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5554,24 Twenty-Four Food & Beverage,90
298 Nikuya Yakiniku,5.6795683,9.248449,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6117,298 Nikuya Yakiniku,90
4K Cafe by Cross Vibe Decem (Chiang Mai),0.7659798,15.105907,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,3481,4K Cafe by Cross Vibe Decem (Chiang Mai),90
61 Bistro,0.56752616,7.988994,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6183,61 Bistro,90
77 JET SIP JET,4.6419125,13.714762,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5880,77 JET SIP JET,90
7th Street Bar & Bistro Mega Bangna,0.4208098,8.355045,3,Good Location,1,100.0,Good Location,6058,7th Street Bar & Bistro Mega Bangna,90
8855 Restaurant & Bar,0.037684668,10.862019,3,Good Location,1,100.0,Good Location,3806,8855 Restaurant & Bar,90
A JUM MA Specialty Kimbap,6.177073,13.406923,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5567,A JUM MA Specialty Kimbap,90
A Seven at Davinia Resort (Hua Hin),-1.6783504,3.9414315,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6545,A Seven at Davinia Resort (Hua Hin),90
A'LA Craft Kiri Vari (Nan),1.2603542,8.401813,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4094,A'LA Craft Kiri Vari (Nan),90
AB Indian Cuisine Asoke,0.308517,9.845823,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4229,AB Indian Cuisine Asoke,90
AKATO BKK,1.8594868,8.880153,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5623,AKATO BKK,90
AKI Traditional Omakase,2.684383,1.1304603,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5052,AKI Traditional Omakase,90
ALRAY Fish & Chips,3.0339847,9.760488,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5333,ALRAY Fish & Chips,90
AV izakaya Lat Phrao 71,1.4987772,12.087409,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4705,AV izakaya Lat Phrao 71,90
AV izakaya Saphan Khwai,5.1160417,14.123613,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4708,AV izakaya Saphan Khwai,90
Above Eleven,4.187601,14.633586,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6090,Above Eleven,90
Abushi,5.6343865,13.205886,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5069,Abushi,90
AdHoc Bkk,1.5491589,10.9376335,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4608,AdHoc Bkk,90
Aey Seafood,8.632975,12.437194,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5197,Aey Seafood,240
Aimée Petit Bistro,0.27515042,7.1780987,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6553,Aimée Petit Bistro,90
Akimitsu Tendon Central Si Racha,4.2659607,5.3576813,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5479,Akimitsu Tendon Central Si Racha,90
Akimitsu Tendon Central World,4.417964,6.0174513,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5477,Akimitsu Tendon Central World,90
Akira Back at JW Marriott Hotel Singapore South Beach,-0.25560623,11.730408,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5922,Akira Back at JW Marriott Hotel Singapore South Beach,90
Al Bahr Beach Bar @Marrakesh (Hua Hin),-2.1817656,3.6475341,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5902,Al Bahr Beach Bar @Marrakesh (Hua Hin),90
Aladeen Restaurant,2.7789528,11.804574,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4091,Aladeen Restaurant,90
Alangka Cruise,6.0902195,12.624063,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3933,Alangka Cruise,90
Alangkarn Sushi Rama 2,5.1619644,3.1414967,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,2632,Alangkarn Sushi Rama 2,90
Ale House - Riverside Bar at Millennium Hilton Bangkok,2.2767806,18.034037,3,Good Location,1,100.0,Good Location,4472,Ale House - Riverside Bar at Millennium Hilton Bangkok,90
Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin),-2.3231213,2.912559,1,Restaurant with Good View,1,100.0,Restaurant with Good View,2371,Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin),90
Alice’s Dining Hall,0.30929726,13.433319,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6671,Alice’s Dining Hall,90
All Day Fine,2.4041045,13.693926,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5733,All Day Fine,90
Allora Ristorante and Bar,-0.8440772,12.463214,3,Good Location,1,100.0,Good Location,6566,Allora Ristorante and Bar,90
Alpina Wine & Bistro,-0.047737263,8.839169,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3544,Alpina Wine & Bistro,90
Amorretto Cafe & Bistro,-0.21494994,7.8636336,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,5569,Amorretto Cafe & Bistro,90
Amò,6.9539995,10.98178,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5645,Amò,90
An La Ghien,1.1209806,7.9027653,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5374,An La Ghien,90
Ancient Tea House Asiatique the Riverfront,2.5084183,17.310017,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4463,Ancient Tea House Asiatique the Riverfront,90
