name,hybrid_cluster,cluster_label,avg_revenue_per_booking,avg_guests,active_days,log_bookings
 Charoen Rung Rueang International Buffet MS Siam Tower Rama 3,0,Everyday Casual Dining,533.0666666666667,2.6666666666666665,3,1.9459101490553132
 Estrela Rooftop Bar & Restaurant (Phuket),0,Everyday Casual Dining,190.8,2.0,1,0.6931471805599453
 IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star),1,Experience-Oriented Dining,551.1111111111111,1.8888888888888888,6,2.302585092994046
 Ninja Izakaya,0,Everyday Casual Dining,116.4,2.0,1,0.6931471805599453
 Sand Box Beachfront Bar & Eatery Phuket,0,Everyday Casual Dining,203.5,3.0,2,1.0986122886681098
 WYWS Cocktail Bar,0,Everyday Casual Dining,238.8,2.0,1,0.6931471805599453
&T modern Thai grill ,0,Everyday Casual Dining,110.4,3.0,2,1.0986122886681098
'@RICE Restaurant by At Rice Resort (Nakhon Nayok),0,Everyday Casual Dining,174.0,4.0,1,0.6931471805599453
100 Degrees Hotpot Central Chaengwattana,0,Everyday Casual Dining,56.4,2.0,1,0.6931471805599453
123 ICHI NI SAN Sathorn Soi 1,0,Everyday Casual Dining,179.0,2.0,1,0.6931471805599453
13 Coins Ngamwongwan,0,Everyday Casual Dining,70.0,2.0,2,1.0986122886681098
13 Coins Sukhumvit 49 ,0,Everyday Casual Dining,159.0,3.0,1,0.6931471805599453
130Sportcomplex,0,Everyday Casual Dining,94.8,2.6666666666666665,2,1.3862943611198906
1823 Tea Lounge by Ronnefeldt,0,Everyday Casual Dining,238.8,2.0,4,1.6094379124341003
1897 Lounge at Siam Kempinski Hotel Bangkok,0,Everyday Casual Dining,123.25,2.0,1,0.6931471805599453
1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1,0,Everyday Casual Dining,59.88,2.0,1,1.0986122886681098
212 Rooftop Bar At Ibis Styles Bangkok Ratchada,0,Everyday Casual Dining,199.9,4.0,1,0.6931471805599453
224 Winesphere ,0,Everyday Casual Dining,213.6,2.0,1,0.6931471805599453
24 Twenty-Four Food & Beverage,0,Everyday Casual Dining,54.0,2.0,1,0.6931471805599453
27 Bites Brasserie at Radisson Blu Plaza Bangkok,0,Everyday Casual Dining,319.68,3.2,2,1.791759469228055
28Ventotto ,0,Everyday Casual Dining,140.4,2.0,1,0.6931471805599453
298 Nikuya Yakiniku,0,Everyday Casual Dining,311.52,2.0,2,1.0986122886681098
4K Cafe by Cross Vibe Decem (Chiang Mai),0,Everyday Casual Dining,135.0,3.0,1,0.6931471805599453
4K Café Cross Vibe Bangkok Sukhumvit Hotel,0,Everyday Casual Dining,297.0,4.0,1,0.6931471805599453
501 Home Cook ,0,Everyday Casual Dining,669.9,3.5,1,1.0986122886681098
57th Street Marriott Sukhumvit 57,1,Experience-Oriented Dining,358.85407725321886,4.180257510729613,29,5.455321115357702
61 Bistro,0,Everyday Casual Dining,95.88,2.0,1,0.6931471805599453
77 JET SIP JET,0,Everyday Casual Dining,86.4,3.0,1,0.6931471805599453
7th Street Bar & Bistro Mega Bangna,0,Everyday Casual Dining,141.0,2.5,4,1.6094379124341003
82 Concept ,0,Everyday Casual Dining,204.4666666666667,3.6666666666666665,3,1.3862943611198906
8855 Restaurant & Bar,0,Everyday Casual Dining,94.8,2.0,1,0.6931471805599453
A JUM MA Specialty Kimbap,0,Everyday Casual Dining,122.4,2.0,1,0.6931471805599453
A Seven at Davinia Resort (Hua Hin),0,Everyday Casual Dining,104.4,2.0,1,0.6931471805599453
A'LA Craft Kiri Vari (Nan),0,Everyday Casual Dining,98.28,2.0,1,0.6931471805599453
A.P.P Bangkok ,0,Everyday Casual Dining,177.20000000000002,2.0,3,1.3862943611198906
AB Indian Cuisine Asoke,0,Everyday Casual Dining,156.0,3.5,2,1.0986122886681098
AIRE Bar at Hyatt Place Bangkok Sukhumvit 24,0,Everyday Casual Dining,399.6666666666667,4.333333333333333,3,1.3862943611198906
AKATO BKK,1,Experience-Oriented Dining,236.16,2.0,7,2.302585092994046
ALATi at Siam Kempinski Hotel Bangkok,1,Experience-Oriented Dining,249.33333333333334,2.0,6,1.9459101490553132
