restaurant name,cluster,theme,post_count,total_posts,percentage
&T modern Thai grill,0,Various Menus & Quality Food,1,1,100.0
'@RICE Restaurant by At Rice Resort (Nakhon Nayok),0,Various Menus & Quality Food,1,1,100.0
100 Degrees Hotpot Central Chaengwattana,2,Attentive Service but Pricey,1,1,100.0
100 Degrees Hotpot Cosmo Bazaar,0,Various Menus & Quality Food,1,1,100.0
123 ICHI NI SAN Sathorn Soi 1,0,Various Menus & Quality Food,1,1,100.0
13 Coins Ngamwongwan,0,Various Menus & Quality Food,1,1,100.0
13 Coins Sukhumvit 49,0,Various Menus & Quality Food,1,1,100.0
130Sportcomplex,0,Various Menus & Quality Food,1,1,100.0
1823 Tea Lounge by Ronnefeldt,0,Various Menus & Quality Food,1,1,100.0
212 Rooftop Bar At Ibis Styles Bangkok Ratchada,3,Good Location,1,1,100.0
224 Winesphere,0,Various Menus & Quality Food,1,1,100.0
24 Twenty-Four Food & Beverage,0,Various Menus & Quality Food,1,1,100.0
28Ventotto,0,Various Menus & Quality Food,1,1,100.0
298 Nikuya Yakiniku,0,Various Menus & Quality Food,1,1,100.0
4K Cafe by Cross Vibe Decem (Chiang Mai),4,Extensive Alcohol Beverage Options,1,1,100.0
501 Home Cook,0,Various Menus & Quality Food,1,1,100.0
61 Bistro,0,Various Menus & Quality Food,1,1,100.0
77 JET SIP JET,0,Various Menus & Quality Food,1,1,100.0
7th Street Bar & Bistro Mega Bangna,3,Good Location,1,1,100.0
82 Concept,0,Various Menus & Quality Food,1,1,100.0
8855 Restaurant & Bar,3,Good Location,1,1,100.0
A JUM MA Specialty Kimbap,0,Various Menus & Quality Food,1,1,100.0
A Seven at Davinia Resort (Hua Hin),1,Restaurant with Good View,1,1,100.0
A'LA Craft Kiri Vari (Nan),0,Various Menus & Quality Food,1,1,100.0
AB Indian Cuisine Asoke,0,Various Menus & Quality Food,1,1,100.0
AKATO BKK,0,Various Menus & Quality Food,1,1,100.0
AKI Traditional Omakase,0,Various Menus & Quality Food,1,1,100.0
ALRAY Fish & Chips,0,Various Menus & Quality Food,1,1,100.0
AV izakaya Lat Phrao 71,0,Various Menus & Quality Food,1,1,100.0
AV izakaya Saphan Khwai,0,Various Menus & Quality Food,1,1,100.0
Above Eleven,0,Various Menus & Quality Food,1,1,100.0
Abushi,0,Various Menus & Quality Food,1,1,100.0
AdHoc Bkk,0,Various Menus & Quality Food,1,1,100.0
Aey Seafood,0,Various Menus & Quality Food,1,1,100.0
Aha's Shabu & Grill,2,Attentive Service but Pricey,1,1,100.0
Aimée Petit Bistro,0,Various Menus & Quality Food,1,1,100.0
Akako Omakase,0,Various Menus & Quality Food,1,1,100.0
Akase Shabu,2,Attentive Service but Pricey,1,1,100.0
Akimitsu Tendon Central Si Racha,2,Attentive Service but Pricey,1,1,100.0
Akimitsu Tendon Central World,2,Attentive Service but Pricey,1,1,100.0
Akira Back at JW Marriott Hotel Singapore South Beach,1,Restaurant with Good View,1,1,100.0
Al Bahr Beach Bar @Marrakesh (Hua Hin),1,Restaurant with Good View,1,1,100.0
Aladeen Restaurant,0,Various Menus & Quality Food,1,1,100.0
Alangka Cruise,0,Various Menus & Quality Food,1,1,100.0
Alangkarn Sushi Rama 2,2,Attentive Service but Pricey,1,1,100.0
Ale House - Riverside Bar at Millennium Hilton Bangkok,3,Good Location,1,1,100.0
Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin),1,Restaurant with Good View,1,1,100.0
Alice’s Dining Hall,0,Various Menus & Quality Food,1,1,100.0
