,restaurant name,UMAP Component 1 (Semantic Similarity Axis),UMAP Component 2 (Theme Variation Axis),cluster,Primary Theme,Number of Posts,Primary Theme %,All Themes
0,&T modern Thai grill,1.7609137,7.2853465,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
1,'@RICE Restaurant by At Rice Resort (Nakhon Nayok),-0.26156652,8.148663,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
2,100 Degrees Hotpot Central Chaengwattana,3.642257,6.3215127,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
3,100 Degrees Hotpot Cosmo Bazaar,2.2812667,9.3165045,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
4,123 ICHI NI SAN Sathorn Soi 1,5.6030283,12.580779,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
5,13 Coins Ngamwongwan,2.6838703,10.711861,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
6,13 Coins Sukhumvit 49,-0.76597863,8.768492,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
7,130Sportcomplex,-0.11839684,12.782193,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
8,1823 Tea Lounge by Ronnefeldt,-0.03855208,9.386065,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
9,212 Rooftop Bar At Ibis Styles Bangkok Ratchada,-2.30989,9.438018,3,Good Location,1,100.0,Good Location
10,224 Winesphere,-0.11820173,9.759127,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
11,24 Twenty-Four Food & Beverage,1.9837894,9.847276,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
12,28Ventotto,3.3458896,9.676407,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
13,298 Nikuya Yakiniku,5.6795683,9.248449,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
14,4K Cafe by Cross Vibe Decem (Chiang Mai),0.7659798,15.105907,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
15,501 Home Cook,2.4004953,9.5347,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
16,61 Bistro,0.56752616,7.988994,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
17,77 JET SIP JET,4.6419125,13.714762,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
18,7th Street Bar & Bistro Mega Bangna,0.4208098,8.355045,3,Good Location,1,100.0,Good Location
19,82 Concept,1.7763996,9.704423,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
20,8855 Restaurant & Bar,0.037684668,10.862019,3,Good Location,1,100.0,Good Location
21,A JUM MA Specialty Kimbap,6.177073,13.406923,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
22,A Seven at Davinia Resort (Hua Hin),-1.6783504,3.9414315,1,Restaurant with Good View,1,100.0,Restaurant with Good View
23,A'LA Craft Kiri Vari (Nan),1.2603542,8.401813,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
24,AB Indian Cuisine Asoke,0.308517,9.845823,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
25,AKATO BKK,1.8594868,8.880153,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
26,AKI Traditional Omakase,2.684383,1.1304603,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
27,ALRAY Fish & Chips,3.0339847,9.760488,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
28,AV izakaya Lat Phrao 71,1.4987772,12.087409,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
29,AV izakaya Saphan Khwai,5.1160417,14.123613,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
30,Above Eleven,4.187601,14.633586,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
31,Abushi,5.6343865,13.205886,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
32,AdHoc Bkk,1.5491589,10.9376335,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
33,Aey Seafood,8.632975,12.437194,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
34,Aha's Shabu & Grill,6.570007,5.708635,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
35,Aimée Petit Bistro,0.27515042,7.1780987,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
36,Akako Omakase,2.871623,1.0968382,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
37,Akase Shabu,7.233508,6.238264,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
38,Akimitsu Tendon Central Si Racha,4.2659607,5.3576813,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
39,Akimitsu Tendon Central World,4.417964,6.0174513,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
40,Akira Back at JW Marriott Hotel Singapore South Beach,-0.25560623,11.730408,1,Restaurant with Good View,1,100.0,Restaurant with Good View
41,Al Bahr Beach Bar @Marrakesh (Hua Hin),-2.1817656,3.6475341,1,Restaurant with Good View,1,100.0,Restaurant with Good View
42,Aladeen Restaurant,2.7789528,11.804574,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
43,Alangka Cruise,6.0902195,12.624063,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
44,Alangkarn Sushi Rama 2,5.1619644,3.1414967,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
45,Ale House - Riverside Bar at Millennium Hilton Bangkok,2.2767806,18.034037,3,Good Location,1,100.0,Good Location
46,Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin),-2.3231213,2.912559,1,Restaurant with Good View,1,100.0,Restaurant with Good View
47,Alice’s Dining Hall,0.30929726,13.433319,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
48,All Day Fine,2.4041045,13.693926,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
49,Allora Ristorante and Bar,-0.8440772,12.463214,3,Good Location,1,100.0,Good Location
50,Alpina Wine & Bistro,-0.047737263,8.839169,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
51,Amorretto Cafe & Bistro,-0.21494994,7.8636336,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
52,Amò,6.9539995,10.98178,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
53,An La Ghien,1.1209806,7.9027653,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
54,Anacot Revtaurant Si Phraya,5.3357534,9.935118,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
55,Ancient Tea House Asiatique the Riverfront,2.5084183,17.310017,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
56,Aneki × Paper Meal,5.258743,7.704975,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
57,Ang Sila Bangna Seafood,8.738258,12.288635,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
58,Angel Shabu Mala Bearing 17,8.084384,5.8974266,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
59,Annyeong Grill 안녕 그릴  Ozone One – Songprapha,2.0571914,6.051448,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
60,Annyeong Grill 안녕 그릴 Railway Station (Chiangmai),4.4967747,8.826199,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
61,Annyeong Grill 안녕 그릴 San Phi Suea (Chiangmai),2.0089006,6.2107005,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
62,Another Round,3.0485651,14.255023,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
63,Anya Authentic Thai Cuisine,0.7809894,10.506015,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
64,Anya's Place,4.2867217,10.009297,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
65,Ao Talay Theprak Saphan Mai,4.647269,11.386541,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
66,April64,4.586422,13.886214,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
67,Aqua Bar & Grill Springfield at Sea Resort & Spa (Hua Hin),-2.5339973,3.4219887,1,Restaurant with Good View,1,100.0,Restaurant with Good View
68,Aquario Rooftop Pool Bar & Restaurant The Sanctuary Resort (Pattaya),-3.2484338,7.182006,1,Restaurant with Good View,1,100.0,Restaurant with Good View
69,Ar Tee Mala Shabu Ping Yang,7.897446,5.3468127,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
70,Area Five Café and Eatery,1.705946,13.778158,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
71,Areeya Mookrata Chula-Banthat Thong,5.2174106,9.906698,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
72,Areeya Mookrata New Petchaburi,2.7431118,11.818052,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
73,Areeya Mookrata Pradiphat,4.6470957,15.480195,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
74,Arno's Naradhiwas Rajanagarindra Soi 20,4.4205446,10.844655,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
75,Arno's The Circle Ratchapruek,4.749908,11.165525,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
76,Assembly Point Thonglor @ One One Hotel Bkk,-2.3893082,10.953434,3,Good Location,1,100.0,Good Location
77,Astro Ekkamai,6.396392,9.439346,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
78,At-Ta-Rote,4.5209575,12.951968,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
79,Atmos On Top Silom,3.787437,15.49174,3,Good Location,1,100.0,Good Location
80,Audrey Cafe Central Ladprao,5.4753613,6.954585,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
81,Audrey Cafe Thonglor Soi 11,0.28348303,16.428204,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
82,Audrey Restaurant - A Chatrium Collection (Khao Yai),2.628867,11.251105,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
83,Aufu Bar,-2.7614913,12.4094,3,Good Location,1,100.0,Good Location
84,Aunidin,5.523402,8.219431,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
85,Avalon Cafe & Restaurant (Phitsanulok),1.8866112,15.473388,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
86,Axis & Spin Sky Lounge & Bar Rooftop at The Continent Boutique Hotel,-2.0707443,9.654599,3,Good Location,1,100.0,Good Location
87,Ayutthaya Retreat (Ayutthaya),2.2542388,15.497094,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
88,B.Burnt Bistro Central Si Racha (Chon Buri),0.9411362,7.0839205,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
89,BAY beach bar & cafe,-2.3694444,6.2154784,3,Good Location,1,100.0,Good Location
90,BEACHSIDE BAR  บีชไซด์ บาร์ @ MASON,-1.8025805,10.970429,3,Good Location,1,100.0,Good Location
91,BNP Cuisine,1.2130603,10.24351,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
92,BUCKS CAFE,0.33992493,15.834746,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
93,Baan Borneo Club by 137 Pillars,-2.2738967,14.656663,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
94,Baan Daeng by Methavalai Sorndaeng,5.970904,13.438254,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
95,Baan Dalaa by Angkana,2.3575757,12.367174,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
96,Baan Glom Gig,2.5207994,10.845755,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
97,Baan Itsara (Huahin),5.3281655,13.3063965,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
98,Baan Khanitha Thai Cuisine Sukhumvit 23,0.33695218,10.012634,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
99,Baan Khanitha and Gallery Sathorn,1.7144854,10.762571,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
100,Baan Moo Hun,3.0677967,10.908666,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
101,Baan Nhuer Nham,5.214332,14.851968,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
102,Baan Nuea Yaang,5.593388,14.844965,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
103,Baan Suan Rim Khlong Maha Sawat,2.614979,14.762231,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
104,Baan Suriyasai @ Surawongse,1.4958276,11.250458,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
105,Baantye,2.531731,10.785141,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
106,Baba Beach Restaurant at Baba Beach Club (Hua Hin),-2.317826,4.087845,1,Restaurant with Good View,1,100.0,Restaurant with Good View
107,Baba Hot Box at Sri Panwa (Phuket),0.5970852,5.058045,1,Restaurant with Good View,1,100.0,Restaurant with Good View
108,Baba IKI at Sri Panwa (Phuket),0.1617559,5.129876,1,Restaurant with Good View,1,100.0,Restaurant with Good View
109,Baba Poolclub at Sri Panwa (Phuket),0.20928687,4.7386837,1,Restaurant with Good View,1,100.0,Restaurant with Good View
110,Baba Soul Food Baba Beach Club (Hua Hin),-2.3174126,3.539532,1,Restaurant with Good View,1,100.0,Restaurant with Good View
111,Badasga Beach Club (Chonburi),-2.426328,4.769096,1,Restaurant with Good View,1,100.0,Restaurant with Good View
112,Bai Som farm&cafe,0.66204673,16.889866,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
113,Baia Rooftop Dining Lounge Bar,-2.5017288,10.175001,3,Good Location,1,100.0,Good Location
114,Bajika Restaurant and Music,3.8224921,15.203523,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
115,Bake The Story (Phuket),0.13663006,3.9208682,1,Restaurant with Good View,1,100.0,Restaurant with Good View
116,Ballad Riverside Rooftop Bar & Restaurant,-2.9385934,9.503071,3,Good Location,1,100.0,Good Location
117,Bangkok Trading Post Bistro & Bar by 137 Pillars,0.12973842,8.126746,3,Good Location,1,100.0,Good Location
