                                                    ,KOL_ID,Username,Followers,Country,Social media URL,Restaurant name,Restaurant ID,Cuisine Type,Package Type,Package price,Package Name,Alergies,Comments,Fee per content,Hotel required,Validation 1,Sales in charge,Target Date,Target time,No people,Sales Check,Line_thread_id,Booking ID,Target post date,Post details,Notes,index
,HH-LOIMU,immikeyu,"319,003",Bangkok,,Vertigo TOO Banyan Tree,712,"Fusion, International",Party Pack,,,,,"25,000",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",26/07/2024,5:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOIMU,immikeyu,"319,003",Bangkok,,"Jim Thompson, A Thai Restaurant",4195,Thai,Party Pack,,,,,"25,000",,Approved,ravi@hungryhub.com,22/10/2024,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,JHOL Coastal Indian Cuisine,4496,Indian,Party Pack,2990,Sharing Set for 2 People,,,"3,351",,,ravi@hungryhub.com,27/11/2024,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Jharokha by Indus,4652,Indian,Party Pack,3000,Exclusive Dinner Sharing Set for 2 People,,,"3,351",,,ravi@hungryhub.com,28/11/2024,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Florae at Valia Hotel Bangkok,4456,"European, Indian, Fusion, Steakhouse",Party Pack,2599,Romantic Dinner: 5-Course for 2 People,,,"3,351",,,bond@hungryhub.com,15/12/2024,8:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Nuatair Samyan Mitrtown,4875,"Thai, European",All You Can Eat,999,"Premium: Nuatair Buffet (Jan 1st, 2025 Onwards)",,,"3,351",,,earth@hungryhub.com,02/01/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBAS,bangkok.rooftops,"182,445",Bangkok,instagram.com/bangkok.rooftops,The Speakeasy Rooftop Bar Bangkok,5140,"Fusion, International, American, European",Party Pack,1190,2 Dishes with 1 Alcoholic Beverage (6-8 P.M.),,N/A,"12,371",,Approved,ravi@hungryhub.com,23/01/2025,7:00:00 pm,2,Booked,,6888788,11/02/2025,Check Later,,
,HH-LOBAS,bangkok.rooftops,"182,445",Bangkok,instagram.com/bangkok.rooftops,Dark Waters Rooftop Bar & Riverside,4511,"International, Fusion, Thai",Party Pack,1190,2 Dishes + Free Flow Alcohol & Soft Drinks,,,"12,371",,Approved,bond@hungryhub.com,28/01/2025,7:00:00 pm,2,Booked,,6863186,13/02/2025,Check Later,,
,HH-LOBAS,bangkok.rooftops,"182,445",Bangkok,instagram.com/bangkok.rooftops,Cielo Sky Bar & Restaurant Rooftop,3934,"Fusion, Italian, Thai",Party Pack,1990,New: Sharing Set for 2 People,,,"12,371",,Approved,sirirat@hungryhub.com,30/01/2025,7:00:00 pm,2,Booked,,6867847,02/03/2025,Check Later,,
,HH-LOBAS,bangkok.rooftops,"182,445",Bangkok,instagram.com/bangkok.rooftops,LUZ Bangkok Tapas Bar,4897,Spanish,Party Pack,2390,LUZ Premium Sharing Set for 2 People,,,"12,371",,Approved,sirirat@hungryhub.com,31/01/2025,7:00:00 pm,2,Booked,,6868290,03/03/2025,Check Later,,
,HH-LOBAS,bangkok.rooftops,"182,445",Bangkok,instagram.com/bangkok.rooftops,ThreeSixty Rooftop Bar at Millennium Hilton Bangkok,4471,International,Party Pack,1999,Sharing Set for 2 People with 4 Alcohol Drink,,,"12,371",,Approved,bond@hungryhub.com,02/02/2025,7:00:00 pm,2,Booked,,6917649,12/02/2025,Check Later,,
,#REF!,howtotravelfulltime,"100,047",Bangkok,,Butcher Factory by Bangkok Butcher,4178,"Steakhouse, Italian, International, American, European",All You Can Eat,1159,Dry Aged Buffet Steak,,,"13,500",,Approved,earth@hungryhub.com,15/02/2025,7:00:00 pm,,,,,,Check Later,,
,#REF!,eaterries,"26,326",Singapore,,Warm Up Cafe @ Mackenzie Road,5318,Thai,Party Pack,69,Sharing Set for 2 People,,,"5,063",,Approved,fred@hungryhub.com,25/02/2025,6:30:00 pm,2,Booked,,7186274,,Check Later,,
,HH-SGMEY,melicacy,"44,191",Singapore,Instagram.com/melicacy,Forma,5345,Italian,Party Pack,112,3-COURSE WINTER SET DINNER,,,"5,063",,,fred@hungryhub.com,25/02/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-SGMEY,melicacy,"44,191",Singapore,Instagram.com/melicacy,Wild Child Pizzette,5344,Italian,Party Pack,151,Sharing Set for 2 People,,,"5,063",,,fred@hungryhub.com,26/02/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"3,351",,,surasit@hungryhub.com,01/03/2025,7:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Butcher Factory by Bangkok Butcher,4178,"Steakhouse, Italian, International, American, European",All You Can Eat,1399, Dry Aged Buffet Steak ,,,"3,351",,,earth@hungryhub.com,02/03/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Mix Beef Club & Restaurant BKK,4912,"Steakhouse, Chinese, Italian, International, Fusion, Thai, European, Thai Southern, Thai Northern",Party Pack,2190,Sharing Set for 2 People,,,"3,351",,,bond@hungryhub.com,04/03/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-SGMEY,melicacy,"44,191",Singapore,Instagram.com/melicacy,Mizuya Omakase,5362,Japanese,Party Pack,155,Special x2 Omakase 7 Course With Free Flow Green Tea ,,,"5,063",,,fred@hungryhub.com,04/03/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Mojjo Rooftop Lounge & Bar Skyview Hotel,643,"Cuban, Fusion, Mexican, Peruvian",Party Pack,999,3 Dishes & Free Flow Non-Alc. Drinks (90 Mins),,,"3,351",,,ravi@hungryhub.com,05/03/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,The Seafood Cafe & Restaurant,1433,"Thai, Chinese, International, Fusion",All You Can Eat,1690,Premium Seafood Buffet + 1 Premium Jumbo River Prawn,,,"3,351",,,sirirat@hungryhub.com,06/03/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LODAJ,daddy.xj,"126,196",Bangkok,,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Sat-Sun),,,"5,000",,Approved,earth@hungryhub.com,08/03/2025,1:00:00 pm,"2 (1 Adult, 1 kid)",Validated,,,,Check Later,,
,HH-LOTHI,thara_koiii,"95,611",Singapore,Instagram.com/thara_koiii,"Colony At The Ritz-Carlton, Millenia Singapore",5412,"International, Singaporean",All You Can Eat,89,Lunch Buffet (Mon-Fri) ,,,"1,686",,,fred@hungryhub.com,10/03/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,#REF!,eaterries,"26,326",Singapore,,Wild Child Pizzette,5344,Italian,Party Pack,151,Sharing Set for 2 People,,,"5,063",,Approved,fred@hungryhub.com,15/03/2025,1:00:00 pm,2,Booked,,7175926,,Check Later,,
,#REF!,eaterries,"26,326",Singapore,,Fook Kin 福劲,5376,"Chinese, Singaporean",Party Pack,76,Sharing Set for 2 People,,,"5,063",,Approved,fred@hungryhub.com,18/03/2025,7:00:00 pm,2,Booked,,7344487,,Check Later,,
,#REF!,sgadventurousduo,"117,433",Bangkok,,Kam's Roast Central World,5251,Chinese,Party Pack,1190,Premium Set for 2 People,,,"5,905",,Approved,earth@hungryhub.com,20/03/2025,7:00:00 pm,,,,,,Check Later,,
,#REF!,sgadventurousduo,"117,433",Bangkok,,Oishi Grand Siam Paragon,4039,"European, Fusion, International, Japanese",All You Can Eat,1119,Oishi Grand: Premium Buffet,,,"5,905",,Approved,bond@hungryhub.com,20/03/2025,1:00:00 pm,,,,,,Check Later,,
,#REF!,sgadventurousduo,"117,433",Bangkok,,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Mon-Fri),,,"5,905",,Approved,earth@hungryhub.com,21/03/2025,1:00:00 pm,,,,,,Check Later,,
,#REF!,howtotravelfulltime,"100,047",Bangkok,,About Beef Lava Grill,4751,"Japanese, Fusion, Thai",All You Can Eat,1159,Premium International Buffet (Only for Hungry Hub),,,"13,500",,Approved,dew@hungryhub.com,22/03/2025,5:00:00 pm,,,,,,Check Later,,
,#REF!,sgadventurousduo,"117,433",Bangkok,,Baan Dalaa by Angkana,4778,"Thai Southern, Thai",Party Pack,1350,Sharing Set for 2 People,,,"5,905",,Approved,dew@hungryhub.com,22/03/2025,12:00:00 pm,,,,,,Check Later,,
,#REF!,sgadventurousduo,"117,433",Bangkok,,Butcher Factory by Bangkok Butcher,4178,"Steakhouse, Italian, International, American, European",All You Can Eat,1690,Premium Dry Aged Gentle Butcher Buffet Steak),,,"5,905",,Approved,earth@hungryhub.com,23/03/2025,12:00:00 pm,,,,,,Check Later,,
,HH-INJKO,jkonthego,"38,900",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"1,671",TRUE,Approved,surasit@hungryhub.com,24/03/2025,7:30:00 pm,1,Booked,,7356179,25/03/2025,Check Later,,
,#REF!,eaterries,"26,326",Singapore,,Bar Cicheti,5343,Italian,Party Pack,76,3-Course Set Dinner Menu,,,"5,063",,Approved,fred@hungryhub.com,25/03/2025,7:00:00 pm,2,Booked,,7326718,,Check Later,,
,#REF!,jkonthego,"38,900",Bangkok,,Great Harbour International Buffet,3005,"Chinese, European, Fusion, International, Japanese, Thai",All You Can Eat,1493,Standard Buffet + Durian Buffet,,,"1,671",TRUE,Approved,bond@hungryhub.com,25/03/2025,12:00:00 pm,1,Booked,,7359498,31/03/2025,Check Later,,
,#REF!,jkonthego,"38,900",Bangkok,instagram.com/jkonthego,Dark Waters Rooftop Bar & Riverside,4511,"International, Fusion, Thai",Party Pack,1990,Romantic Set for 2 People (Advance 1 Day),,,"1,671",TRUE,Approved,bond@hungryhub.com,25/03/2025,7:00:00 pm,1,Booked,,7359514,27/03/2025,Check Later,,
,#REF!,bangkok.discovery,"199,227",Bangkok,Instagram.com/bangkok.discovery,Oishi Grand Siam Paragon,4039,"European, Fusion, International, Japanese",All You Can Eat,2799,Oishi Grand: Prestige Buffet,,,"20,250",,Approved,bond@hungryhub.com,25/03/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,#REF!,jkonthego,"38,900",Bangkok,instagram.com/jkonthegoV2,The Seafood Cafe & Restaurant,1433,"Thai, Chinese, International, Fusion",All You Can Eat,2999,Lobster Lover Set for 4 People,,,"1,671",TRUE,Approved,sirirat@hungryhub.com,26/03/2025,11:00:00 am,1,Booked,,7356205,15/04/2025,Check Later,,
,HH-INJKO,jkonthego,"38,900",Bangkok,,Gentle Butcher by Bangkok Butcher,4889,"Steakhouse, Fusion, American, Mexican",All You Can Eat,1690,Premium Dry Aged Gentle Butcher Buffet Steak,,,"1,671",TRUE,Approved,earth@hungryhub.com,26/03/2025,7:00:00 pm,1,Booked,,7360875,08/04/2025,Check Later,,
,HH-LOBAE,bangkok.vibe,"33,382",Bangkok,https://www.instagram.com/bangkok.vibe/,Kam's Roast Central World,5251,Chinese,Party Pack,1190,Premium Set for 2 People,,,"10,125",,Approved,earth@hungryhub.com,26/03/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOCAW,carmen_wqw,"99,495",Bangkok,,RedSquare Rooftop Bar at Novotel Bangkok Sukhumvit 4,4412,International,Party Pack,,,,,"6,355",TRUE,Approved,bond@hungryhub.com,27/03/2025,6:00:00 pm,3,Validated,,,21/04/2025,Check Later,,
,HH-LOCAW,carmen_wqw,"99,495",Bangkok,,Khao Wireless Road,2382,Thai,Party Pack,,,,,"6,355",TRUE,Approved,bond@hungryhub.com,27/03/2025,11:00:00 am,3,Validated,,,10/05/2025,Check Later,,
