,KOL_ID,Username,Price per post,Country,Restaurant Code,Restaurant Name,Cuisine Type,Social Media,Social media URL,Booking Date,Booking ID,Boost Code,Post Type,Post Date,Post URL,D+1,Views,Comments,Likes,D+5,Views (+5),Comments (+5),Likes (+5),D+10,Views (+10,Comments (+10),Likes (+10),growth rate,Conv Rate,CPM,Content,Hook (First 5 Seconds),Transcript,views (latest total)
,HH-IN36Y,365days2play,,Bangkok,1893,Sirimahannop Asiatique The Riverfront,Thai-European ,Instagram,Instagram.com/365days2play,,Paid,,Video,23/08/2024,https://www.instagram.com/p/C_AmcP_SZxO/,01/07/2025,"1,713",18,-1,28/08/2024,,,,14/07/2025,"1,723",18,-1,0.6%,0.99%,0.00,,"Unique things to do aboard a ship, XX cuisines (AI and text)",,1723
,HH-INAAD,aayan_world,0,Bangkok,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),International,Instagram,Instagram.com/aayan_world,,Paid,,Video,05/09/2025,https://www.instagram.com/p/DONfTcejOx6/,06/09/2025,279,0,8,10/09/2025,315,0,8,15/09/2025,"30,705",47,-1,10905.4%,0.15%,0.00,"✨ When in Thailand, food isn’t just a meal — it’s an experience. 🇹🇭
On my recent trip, I discovered @hungryhub_th the app that completely changed the way I dine out here. Instead of walk-ins, I booked an exclusive package through Hungry Hub — knowing the price upfront, no hidden charges, and menus specially curated just for their members. 🍲🥢

From the moment the first dish arrived, I knew this wasn’t your regular dinner. It felt premium, personalized, and effortless — all thanks to Hungry Hub. The best part? These deals aren’t available anywhere else, so it feels like unlocking a secret dining world. 🔑✨

📲 If you’re visiting or living in Thailand, skip the hassle and book your slots through Hungry Hub. Trust me, your taste buds will thank you! 💯

#hungryhub #Thailandfoodie #luxurydining #exclusivepackages #thaifoodexperience

[ Hungry Hub, Thailand dining, Thailand foodie, exclusive dining packages, premium dining, curated food experiences, Thailand restaurants, luxury dining, food reservations app, no hidden charges, easy reservations, Bangkok food, Thai food journey, foodie in Thailand, unique dining deals, premium food experience, Thailand food guide, hidden gems Thailand, dining made easy, travel & food Thailand, baby food blogger, food vlogger, dubai kids] & ",,,30705
,HH-INBEH,beatricechongyh,,Bangkok,#N/A,Copper Beyond Buffet Gaysorn Amarin,#N/A,Instagram,Instagram.com/beatricechongyh,,Paid,,Video,18/08/2025,https://www.instagram.com/p/DNfuVImS49G/,19/08/2025,"70,154",15,,23/08/2025,,,,28/08/2025,"111,112",75,3572,58.4%,3.28%,0.00,"Just found my new Bangkok obsession 😍 — Copper Beyond Buffet at Gaysorn Amarin!

This award-winning buffet (Best Buffet Restaurants Award 2024 🏆) is next-level luxury:
 🦞 Baked & Torched Canadian Lobster Tail with trio cheese velouté — creamy, rich, melt-in-your-mouth goodness
 🦀 Korean Crab Paste DIY Rice Bowl — umami bomb & so fun to mix
Over 140 dishes — from premium meats, fresh seafood, sushi, Thai favourites, to Michelin-level desserts 🍰✨

💡 Pro tip: Book through Hungry Hub to get their full Pack A experience for only 2,599 THB/pax, skip the queue & dine stress-free.
If you’re coming to Bangkok, SAVE this spot 🥢 — it’s 100% worth it!

@hungryhub_th 
#hungryhubthailand #hungryhub
#copperbeyondbuffet 
#bangkokbuffet & ",,,111112
,HH-INBEH,beatricechongyh,,Bangkok,4039,Oishi Grand Siam Paragon,Japanese,Instagram,Instagram.com/beatricechongyh,,Paid,,Video,20/08/2025,https://www.instagram.com/p/DNk9UFHSazA/,21/08/2025,"91,070",9,,25/08/2025,"101,891",70,-1,30/08/2025,"102,159",70,-1,12.2%,0.07%,0.00,"If you love Japanese food, this is the buffet to visit in Bangkok. 🍣✨

Oishi Grand at Siam Paragon serves over 140 premium dishes — from thick-cut sashimi and chef’s premium sushi sets, to wagyu udon, sizzling teppanyaki, comforting dobin mushi, Thai favourites, Chinese delicacies, and even Häagen-Dazs with juicy Japanese melon.

The best part? It’s only ฿1,119 per person when you book exclusively via Hungry Hub. Premium quality, huge variety, and unbeatable value — this is hands down one of my top buffet picks in Bangkok.

📍 Siam Paragon – Oishi Grand
 📲 Book now on Hungry Hub

@hungryhub_th 
#hungryhubthailand #hungryhub
#oishigrandsiamparagon
#oishigrand 
#bangkokjapanesebuffet & ",,,102159
,HH-INBEH,beatricechongyh,,Bangkok,5945,Kohaku Omakase,Japanese,Instagram,Instagram.com/beatricechongyh,,Paid,,Video,23/08/2025,https://www.instagram.com/p/DNse0kWYmjk/,24/08/2025,"72,590",6,,28/08/2025,"102,741",44,0,02/09/2025,"102,775",44,-1,41.6%,0.04%,0.00,"If you’re in Bangkok and craving an unforgettable sushi experience, Kohaku Omakase is a must. 🌟 Rated 4.9 stars with over 2,000 glowing reviews, it’s not just about the food — the setting is classy, calm, and intimate, perfect for a special night out or even a solo treat.

The sushi here is made with premium seasonal seafood flown in directly from Japan, and every bite is a flavour bomb. 🍣 The chef’s passion really shines through — torching, plating, and presenting each dish like a piece of art.

I booked via Hungry Hub and got a full 10-course omakase for only 1,165 baht — seriously unbeatable for this quality. 

Honestly, one of the best omakase experiences I’ve ever had. Highly recommend booking your slot through Hungry Hub to enjoy this deal. 💛

@hungryhub_th 
#hungryhubthailand #hungryhub & ",,,102775
,HH-INBEH,beatricechongyh,,Bangkok,5974,Lamaya Bangkok,Fusion,Instagram,Instagram.com/beatricechongyh,,Paid,,Video,25/08/2025,https://www.instagram.com/p/DNyBhp70jHA/,26/08/2025,"141,498",63,,30/08/2025,,,,04/09/2025,"141,551",63,3963,0.0%,2.84%,0.00,"Just found my new favourite rooftop bar in Bangkok — Lamaya! 🌇✨

 Perched on the 30th floor of Staybridge Suites Sukhumvit 24, it’s got stunning city views, tribal-inspired cocktails in the cutest glasses, and that tropical escape vibe right in the middle of the city.
Started outside for the views, then moved indoors for dinner — warm lighting, live jazz, and a super cozy atmosphere. 🎶

 Booked the Party Pack sharing set for 2 on Hungry Hub for just 1,690 baht and got:
 🍣 Hotate Uramaki
 🌮 Juicy wagyu beef tacos
 🦑 Crispy calamari
 🍟 Truffle fries
 🍹 Two drinks

 If you want good food + good vibes + gorgeous views, Lamaya’s where it’s at.
 📌 Save this for your next trip & book via Hungry Hub for the best deal!

@hungryhub_th 
#hungryhubthailand #hungryhub #lamayabangkok #lamayarooftopbar & ",,,141551
,HH-INBEH,beatricechongyh,,Bangkok,4889,Gentle Butcher by Bangkok Butcher,Steakhouse,Instagram,Instagram.com/beatricechongyh,,Paid,,Video,30/08/2025,https://www.instagram.com/p/DN9y149EQ-U/,31/08/2025,"71,010",4,,04/09/2025,"111,211",36,-1,09/09/2025,"111,275",36,-1,56.7%,0.03%,0.00,"If you’re a true meat lover, this is paradise. 🥩✨

 At Gentle Butcher in Sathorn, I had unlimited Hataka Wagyu A5, Foie Gras, and Dry Aged Steak — all for just ฿2,390 per person when booking via Hungry Hub.
From melt-in-your-mouth wagyu tenderloin to fresh lobster, grilled beef tongue, creamy truffle pasta, and even dry aged sashimi — every bite was pure bliss. 💯 The quality, variety, and flavor here are on another level.
Definitely my top steak buffet pick in Bangkok. 🔥 Save this for your next trip!

@hungryhub_th 
#hungryhubthailand #hungryhub
#gentlebutcher #bangkok #steakbuffetbangkok & ",,,111275
,HH-INBIK,bigjohnjiak,"5,162",Bangkok,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),International,Instagram,Instagram.com/bigjohnjiak,,Paid,,Video,05/08/2025,https://www.instagram.com/p/DM-YoM1T99h/,06/08/2025,"1,910",1,29,10/08/2025,,,,15/08/2025,"20,952",9,154,997.0%,0.78%,246.37,"COPPER BEYOND
Possibly the best luxury buffet in Bangkok. Copper beyond not only serve more than 200 all you can eat items, even oysters, sashimi, wagyu beef and lobster are all unlimited.

Just download and make your reservation through Hungry Hub app to secure your slots to enjoy the deal at 2599baht ($103sgd).

📍Gaysorn Amarin, Unit 3F-s06, 3F-s07 502, Phloen Chit Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand

@hungryhub_sg
@hungryhub_th 
@copperbeyondbuffet 
#bangkok #buffet #travel #thailand #hungryhub #wagyu #wheretoeat #foodreview #hojiakbo #sginstagram #foodvlogger #viral #fyp #bigjohnjiak & ",,,20952
,HH-INBIK,bigjohnjiak,"5,162",Bangkok,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),International,Tiktok,Tiktok.com/@bigjohnjiak,,Paid,,Video,05/08/2025,https://www.tiktok.com/@bigjohnjiak/video/7535086654705487111,06/08/2025,,,,10/08/2025,,,,15/08/2025,"31,600",30,501,,1.68%,163.35,,,,31600
,HH-INBIK,bigjohnjiak,"12,656",Bangkok,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Japanese,Tiktok,https://tiktok.com/@bigjohnjiak,,Paid,,Video,06/10/2025,https://www.tiktok.com/@bigjohnjiak/video/7558094617837620487,07/10/2025,"21,079",28,300,11/10/2025,"21,900",29,308,16/10/2025,"24,500",37,339,16.2%,1.53%,516.59,"NAMA JAPANESE AND SEAFOOD BUFFET Must try Japanese premium buffet in Bangkok with almost 200 different items from sushi, sashimi, fresh seafood to grilled meats amd more. Remember to make your reservation through the Hungry hub app. 📍24th floor Centara Grand and Bangkok Convention Centre, 999/99 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330, Thailand @hungryhubofficial  #buffet #japanesefood #sashimi #wagyu #bangkok  & [""buffet"",""japanesefood"",""sashimi"",""wagyu"",""bangkok""]",,,24500
