Ad name,Delivery status,Delivery level,Reach,Impressions,Frequency,Result type,Results,Amount spent (THB),Cost per result,Starts,Ends,Rest ID ,Rest 2,Rest 3,Rest 4,Rest 5
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,156467,332013,2.12193625,Website purchases,689,7396.81,10.73557329,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-KJK|PLAT=FB|DATE=2025-12-04,active,ad,78081,167712,2.14792331,Website purchases,340,5438.39,15.99526471,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,56111,85464,1.52312381,Website purchases,191,2230.25,11.67670157,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-KJK|PLAT=FB|DATE=2025-12-04,active,ad,37510,66331,1.76835511,Website purchases,117,2158.46,18.44837607,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|KOLID=HH-CTH|PLAT=FB|DATE=2025-12-15,active,ad,4327,5107,1.18026346,Website purchases,3,224.04,74.68,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|KOLID=HH-CTH|PLAT=FB|DATE=2025-12-15,active,ad,5177,5833,1.12671431,Website purchases,1,199.04,199.04,20/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|PLAT=FB|DATE=2025-12-15,active,ad,1922,2313,1.20343392,,,64.01,,20/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|PLAT=FB|DATE=2025-12-15,active,ad,1498,1844,1.23097463,,,60.02,,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,18485,25956,1.40416554,Website purchases,64,535.49,8.36703125,25/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,11507,14569,1.2660989,Website purchases,27,336.82,12.47481481,25/03/2025,,4503,837,,,
